id,name,category,address,amenities,operations,link,menuLink
35255743,도원참치 판교본점,생선회,경기 성남시 분당구 판교역로192번길 14-2 골드타워 2층 도원참치,"포장, 배달, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능, 예약, 유아의자, 대기공간, 주차",22:00에 라스트오더,https://m.place.naver.com/restaurant/35255743/home,https://m.place.naver.com/restaurant/35255743/menu
1880745564,닥터로빈 시그니처 판교점,이탈리아음식,경기 성남시 분당구 동판교로177번길 25 아브뉴프랑 1층 108호 닥터로빈,"포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 주차",21:00에 라스트오더,https://m.place.naver.com/restaurant/1880745564/home,https://m.place.naver.com/restaurant/1880745564/menu
1284328078,이가네양갈비 판교점,양갈비,경기 성남시 분당구 판교역로 145,"단체 이용 가능, 주차, 남/녀 화장실 구분, 예약",10:45에 영업 종료,https://m.place.naver.com/restaurant/1284328078/home,https://m.place.naver.com/restaurant/1284328078/menu
1765758635,오늘와인한잔 야탑점,와인,경기 성남시 분당구 장미로100번길 29 1층 오늘와인한잔,"남/녀 화장실 구분, 포장",17:00에 영업 시작,https://m.place.naver.com/restaurant/1765758635/home,https://m.booking.naver.com/order/bizes/457246/items/3729098?theme=place&refererCode=menutab&area=ple
1948630584,카츠쇼신 판교점,돈가스,경기 성남시 분당구 동판교로177번길 25 2층 204호,"남/녀 화장실 구분, 유아의자, 간편결제, 주차, 발렛파킹",15:00에 브레이크타임,https://m.place.naver.com/restaurant/1948630584/home,https://m.place.naver.com/restaurant/1948630584/menu
1646811917,다이호시,일식당,경기 성남시 분당구 판교역로10번길 6 1층 다이호시,"예약, 단체 이용 가능, 무선 인터넷, 포장, 유아의자",12:00에 영업 시작,https://m.place.naver.com/restaurant/1646811917/home,https://m.place.naver.com/restaurant/1646811917/menu
38457345,차알,중식당,"경기 성남시 분당구 동판교로 177 25번지 2층 214, 215호(아브뉴프랑)","예약, 단체 이용 가능, 주차, 포장, 무선 인터넷, 남/녀 화장실 구분, 장애인 편의시설",15:00에 브레이크타임,https://m.place.naver.com/restaurant/38457345/home,https://m.place.naver.com/restaurant/38457345/menu
1746231153,제이스팟,샤브샤브,경기 성남시 분당구 판교역로 152 알파돔타워3동 3층,"예약, 단체 이용 가능, 주차, 남/녀 화장실 구분, 무선 인터넷",15:00에 브레이크타임,https://m.place.naver.com/restaurant/1746231153/home,https://m.place.naver.com/restaurant/1746231153/menu
1967732096,옥된장 서현점,한식,경기 성남시 분당구 황새울로335번길 5 1층 106호,"무선 인터넷, 단체 이용 가능, 포장, 주차",15:00에 브레이크타임,https://m.place.naver.com/restaurant/1967732096/home,https://m.place.naver.com/restaurant/1967732096/menu
21553337,뚜에이오,이탈리아음식,경기 성남시 분당구 판교공원로3길 24-2,"포장, 단체 이용 가능, 남/녀 화장실 구분, 무선 인터넷, 예약",15:00에 브레이크타임,https://m.place.naver.com/restaurant/21553337/home,https://m.place.naver.com/restaurant/21553337/menu
